Participant,TaskKey,CognitiveLoad,EEG_Delta_Mean,EEG_Delta_Var,EEG_Theta_Mean,EEG_Theta_Var,EEG_Alpha_Mean,EEG_Alpha_Var,EEG_Beta_Mean,EEG_Beta_Var,EEG_Gamma_Mean,EEG_Gamma_Var,EEG_Theta_Alpha_Ratio,EEG_Theta_Beta_Ratio,GSR_Mean,GSR_Var
1,1spl1,0,0.23953700667487388,0.02158035711659004,0.17661380678795713,0.005093908539103383,0.4145014818096627,0.009542783665864587,0.2677452511396595,0.0023390338052584323,-0.2078201775204918,0.002330901288266143,0.42608624685884816,0.6596312965585963,18.194720935294693,1.96223729871817
1,1spl2,0,0.725021900762443,0.06340445514830138,0.41792052752846326,0.05979163109671369,0.5979130730623808,0.05191483264884263,0.32677210960337,0.006032836422275329,-0.05351517141424612,0.013247290350279498,0.6989641929449305,1.2789318191932195,18.06747552353186,0.16813854872259026
1,1Item1,0,0.8425284463275245,0.10201542927418862,0.5153610190156611,0.0825725687679569,0.6740775445267436,0.027990241250611236,0.36351127719185916,0.0036872846197992886,-0.1040155841071887,0.002081390196225889,0.7645414962398562,1.4177265840835889,17.45508856023697,0.05639521088757617
1,1Item2,0,0.8435362331335124,0.0797422483099177,0.5215880142675975,0.02162333937651172,0.7171197509767585,0.019851045285657388,0.298958851764925,0.001725390163186838,-0.1423254421318884,0.0015036514838222771,0.7273363845031195,1.7446757856895354,17.686396187150837,0.4386829644179666
1,1Item3,0,0.7974707664949134,0.02974848467523516,0.44903554320924827,0.024646173100883614,0.6380487467344371,0.02288437177391632,0.30821730060605607,0.0034986545089533074,-0.1567578993887465,0.0031397452804965303,0.7037625914083177,1.4568750211337236,16.48402198284366,0.09300253651714602
1,1Item4,0,0.8042233549404738,0.03542946444021204,0.46350927643635476,0.01841646685269116,0.6106958576301549,0.02434754348741651,0.2903251960544971,0.003853907821484367,-0.1457055341876012,0.002990443279371057,0.7589842172023445,1.5965120706825557,16.92872000284182,0.1419570238177632
1,1Item5,0,0.8244215097993504,0.06700594116898848,0.5106726015475861,0.01944155674294318,0.7220545514186585,0.014444747160333095,0.3185185693470295,0.003188540398412467,-0.11354611899862196,0.003635299938782136,0.7072483558145106,1.60326915735342,16.696622405331407,0.17813007900904992
1,1Item6,0,0.8404479252301735,0.04787798226089571,0.5083370489600887,0.024786407398205892,0.7139343928272358,0.01564978450819841,0.32187302583064487,0.004887807272421458,-0.20081467736086475,0.002578316761526225,0.7120210793122851,1.579304349421323,16.152070468314616,0.020967490047198424
1,1Item7,0,0.7010759868237251,0.025280224107691145,0.5075476235859293,0.016002251887623668,0.6892760254213045,0.00354916023815845,0.3344295489251016,0.0033715025680213936,-0.1906423624773651,0.0011553525528114525,0.7363478033751417,1.517647311877596,17.292230203990865,0.4740354036320594
1,1Item8,0,0.7102548224758394,0.13408617747741067,0.4973458063796162,0.05495537700032501,0.7123878683445838,0.03027464209553914,0.315388227435235,0.003114848975022717,-0.1849857374583448,0.001508779634836602,0.6981380935040792,1.576927057477719,16.92716371459408,0.10965876780290298
