Participant,TaskKey,CognitiveLoad,EEG_Delta_Mean,EEG_Delta_Var,EEG_Theta_Mean,EEG_Theta_Var,EEG_Alpha_Mean,EEG_Alpha_Var,EEG_Beta_Mean,EEG_Beta_Var,EEG_Gamma_Mean,EEG_Gamma_Var,EEG_Theta_Alpha_Ratio,EEG_Theta_Beta_Ratio,GSR_Mean,GSR_Var,difficulty_label
1,1spl1,Easy,0.2395370066748738,0.0215803571165901,0.1766138067879571,0.0050939085391033,0.4145014818096627,0.0095427836658644,0.2677452511396595,0.0023390338052584,-0.2078201775204918,0.0023309012882661,0.4260862468588481,0.6596312965585963,18.194720935294693,1.9622372987181664,0.0
1,1spl2,Easy,0.725021900762443,0.0634044551483006,0.4179205275284632,0.0597916310967131,0.5979130730623808,0.0519148326488425,0.32677210960337,0.0060328364222753,-0.0535151714142461,0.0132472903502794,0.6989641929449305,1.2789318191932195,18.06747552353186,0.1681385487225896,0.0
1,1Item1,Easy,0.8425284463275245,0.1020154292741891,0.5153610190156611,0.0825725687679573,0.6740775445267436,0.0279902412506113,0.3635112771918591,0.0036872846197992,-0.1040155841071887,0.0020813901962258,0.7645414962398562,1.4177265840835889,17.45508856023697,0.056395210887576,0.0
1,1Item2,Easy,0.8435362331335124,0.0797422483099172,0.5215880142675975,0.0216233393765117,0.7171197509767585,0.0198510452856573,0.298958851764925,0.0017253901631868,-0.1423254421318884,0.0015036514838222,0.7273363845031195,1.7446757856895354,17.686396187150837,0.4386829644179682,0.0
1,1Item3,Easy,0.7974707664949134,0.0297484846752357,0.4490355432092482,0.0246461731008837,0.6380487467344371,0.0228843717739159,0.308217300606056,0.0034986545089533,-0.1567578993887465,0.0031397452804964,0.7037625914083177,1.4568750211337236,16.48402198284366,0.0930025365171467,0.0
1,1Item4,Medium,0.8042233549404738,0.0354294644402119,0.4635092764363547,0.0184164668526912,0.6106958576301549,0.0243475434874163,0.2903251960544971,0.0038539078214843,-0.1457055341876012,0.002990443279371,0.7589842172023445,1.5965120706825555,16.92872000284182,0.141957023817762,1.0
1,1Item5,Medium,0.8244215097993504,0.0670059411689887,0.5106726015475861,0.0194415567429437,0.7220545514186585,0.0144447471603329,0.3185185693470295,0.0031885403984124,-0.1135461189986219,0.003635299938782,0.7072483558145106,1.60326915735342,16.696622405331407,0.1781300790090526,1.0
1,1Item6,Medium,0.8404479252301735,0.0478779822608954,0.5083370489600887,0.0247864073982059,0.7139343928272358,0.0156497845081984,0.3218730258306448,0.0048878072724214,-0.2008146773608647,0.0025783167615262,0.7120210793122851,1.579304349421323,16.152070468314616,0.0209674900471985,1.0
1,1Item7,Difficult,0.7010759868237251,0.0252802241076909,0.5075476235859293,0.0160022518876238,0.6892760254213045,0.0035491602381584,0.3344295489251016,0.0033715025680214,-0.1906423624773651,0.0011553525528114,0.7363478033751417,1.517647311877596,17.292230203990865,0.4740354036320598,2.0
1,1Item8,Difficult,0.7102548224758394,0.1340861774774124,0.4973458063796162,0.0549553770003242,0.7123878683445838,0.0302746420955385,0.315388227435235,0.0031148489750227,-0.1849857374583448,0.0015087796348365,0.6981380935040792,1.576927057477719,16.92716371459408,0.1096587678029026,2.0
1,1Item9,Difficult,0.8789568491717582,0.0330656983569797,0.7173777282190801,0.0420644074211829,0.8408675135218092,0.0135192678252293,0.3356737951145621,0.0027183957491513,-0.1768475938847725,0.0018229216568647,0.8531390064951858,2.137121221670061,17.431660526864114,0.3595237389769982,2.0
1,1Item10,Difficult,0.9312561549226144,0.034152129426527,0.616433423325537,0.0318506914902684,0.7496496623093087,0.0113961778147682,0.3755120188142591,0.0034434952303226,-0.0812200681285998,0.0213656163154865,0.8222942422629304,1.641576702911717,16.535687677723164,0.1381815842125628,2.0
1,2spl1,Easy,0.3508073062555585,0.0092677601668151,0.1307735935211378,0.0047594424722776,0.3603746294708246,0.0022763621282987,0.2666381202700939,0.0011131537784769,-0.2063816465277009,0.0064193581332583,0.3628813460920365,0.4904516388618061,17.754678986022267,0.3577769323869224,0.0
1,2spl2,Easy,0.8562981603315188,0.0397259869310357,0.4059212766436549,0.0593367465620198,0.5441405726885702,0.0542543207804905,0.3254875507744459,0.0251349041616023,-0.1583592254544437,0.0227760720194235,0.7459846793877974,1.24711384064918,17.709924379894026,0.0880372654252523,0.0
1,2Item1,Easy,0.9352409861549856,0.0218669298602901,0.6658416312257948,0.0052999091071505,0.779826999860549,0.0102519599874289,0.4449900163725253,0.0016604348656035,-0.1394995240415462,0.0006178914108326,0.8538313978785865,1.496303535863708,17.883961519337493,0.141102373921148,0.0
1,2Item2,Easy,1.122747022339572,0.0040413784188061,0.848656984764706,0.0015033264694321,0.902279314946524,0.0047241399760632,0.37097769380377,0.0024190400334249,-0.106615858446524,0.0008992335123957,0.9405691010947124,2.287616509894784,18.13026247121754,0.1009450188346205,0.0
1,2Item3,Easy,1.0716091218188668,0.005562987236986,0.7541807733242917,0.0079379083345089,0.8596021354701628,0.0045801484753369,0.5152086765641953,0.0021543783250558,-0.0435588986615431,0.0104075773578242,0.877359262901932,1.4638327027429587,18.319724630352265,0.0178545247077999,0.0
1,2Item4,Medium,1.25404945934154,0.0185857729324897,0.755336475179645,0.0069892643080875,0.8429766857400516,0.0051085756695165,0.4784677954153592,0.0047822914654963,-0.0555383662240981,0.0040631640792156,0.8960337716609115,1.5786535766119014,18.017841967669906,0.101921392048757,1.0
1,2Item5,Medium,0.9546781322701842,0.1016502194325578,0.7151393385794297,0.0503243436582867,0.8322031467902589,0.0085303126930337,0.4033686358926941,0.0037088596759007,-0.096440712282229,0.0083012588078863,0.8593316211384691,1.772913166844501,18.544337302070147,0.2343233521148124,1.0
1,2Item6,Medium,0.9711984101424036,0.0401446582434641,0.6647608985978295,0.0352231751532691,0.7896215565408627,0.0147358816733804,0.3963201709825964,0.0055856391010633,-0.1147826138015809,0.004698789071618,0.8418717184447964,1.6773287607868443,18.25298495425842,0.1335447438705951,1.0
1,2Item7,Difficult,1.0052808347632174,0.0398727823813626,0.6902806284160274,0.0337324332106775,0.6773090405803244,0.0192771336453559,0.4174183367360394,0.0087074225723721,-0.0569750619141465,0.0107669672663551,1.0191501484675909,1.6536862758050317,18.26150116598479,0.4800857943530424,2.0
1,2Item8,Difficult,0.885625619269424,0.016105708099713,0.6109495274213762,0.0126754950058743,0.851539496285456,0.0091914289943788,0.3892788421428778,0.003334874546897,-0.1622565813750483,0.0019650221271016,0.7174638553144885,1.5694353040688367,18.52219350363986,0.1115360691209201,2.0
1,2Item9,Difficult,0.8345938413650843,0.0437039766608605,0.6152391202870879,0.0149731075350265,0.7304278729296015,0.0162192869809895,0.4100168799367101,0.002908373616341,-0.0728163380591732,0.0078494281741977,0.8422984675010026,1.5005177832294914,18.391955380498747,0.1312166502530338,2.0
1,2Item10,Difficult,0.8397702538108691,0.0406010172513066,0.5807250783975785,0.0321079657312204,0.795795751501631,0.0130497887332784,0.4575574901865104,0.0140451445222306,0.0051354334840225,0.0581738976682457,0.7297404485526959,1.269182172012288,19.762596288625065,1.1519288222116653,2.0
1,3spl1,Easy,0.4629488934513561,0.0099182886491657,0.2799241218126479,0.0032800053194475,0.551843416816568,0.0010660706268744,0.2647730586148915,0.0023441868710001,-0.1710844407840236,0.000375081188768,0.5072518870942825,1.0572188350966507,19.368087159968866,0.1421310189979349,0.0
1,3spl2,Easy,0.5334716716235259,0.0089225541235505,0.4054409771939857,0.0035054163306203,0.529846927704602,0.0016341280934848,0.2146962981928065,0.0012756065329474,-0.2010436555424528,0.0001966918894839,0.7652025345280298,1.8884307376326823,19.39181972816616,0.0269819065988023,0.0
1,3Item15,Difficult,0.8014624870369412,0.1235821357786236,0.5353992275387939,0.0698175823929841,0.6341067227625151,0.0494852773943782,0.2974929276047079,0.0203661275172795,-0.1784417026303866,0.0008668977642916,0.8443348161828185,1.7996980034167291,19.03564134197709,0.0403483419975281,2.0
1,3Item2,Easy,1.0977409743947657,0.008502164095635,0.742206183476881,0.0058329450695254,0.8802324015212649,0.007429217670263,0.4373126091082334,0.0020172140199931,-0.1065360786333151,0.0035235379145336,0.8431924784882758,1.697194342957637,18.807727996160825,0.0749888916653416,0.0
1,3Item5,Easy,1.0568748675908417,0.0416703127143809,0.7161448534101484,0.0233209801000776,0.8279850183917078,0.0122629400743085,0.3700412829222524,0.0013462657320525,-0.1246371125722276,0.0004168482221605,0.8649238483533801,1.9353054676743893,19.197587981029265,0.0218940717361391,0.0
1,3Item12,Medium,1.1492248819590465,0.0073915228959276,0.7819423242036471,0.0067693112573668,0.8715702927693562,0.0113857242556638,0.4098258429969641,0.0025349654522572,-0.1688901524750407,0.0010960639943312,0.8971639275991762,1.907982206547265,19.50180976103992,0.1965998592597901,1.0
1,3Item6,Easy,1.107019372522163,0.0068162201200185,0.8079426232347074,0.0114143965133372,0.9253238733843084,0.0082020906259386,0.4425244601729388,0.0015919471230657,-0.1105198152752659,0.0023284488071071,0.8731448234820662,1.825753986943404,19.220851000120955,0.0136558400174684,0.0
1,3Item8,Medium,1.0007902469141172,0.0190869206944257,0.6369963129729863,0.0295864270748472,0.8336054010440639,0.0099701799455793,0.4176598875159928,0.0031305253447211,-0.0633489058414889,0.0093284857513709,0.7641451795177795,1.5251519402773737,19.47631132813365,0.135196163933805,1.0
1,3Item7,Medium,0.6887107862268067,0.0293947326619811,0.5499908615545166,0.0089812419992614,0.8203056277536621,0.0088894961771154,0.3951278412747803,0.0049451106991075,-0.1182002224360351,0.0020304223147823,0.670469849866529,1.391927908325078,19.078088388115667,0.0360869839253182,1.0
1,3Item9,Medium,1.0763759471674417,0.0358831978699346,0.7374168571535857,0.0345684078749663,0.8276644480598646,0.0186802781735965,0.4202696200002801,0.004025058587387,-0.055048228187048,0.0074605573924003,0.8909600598673882,1.754623859153167,18.75943293853741,0.0533617950483821,1.0
1,3Item17,Difficult,1.0971182796097885,0.0413226190986628,0.7841469274264403,0.0168283237497896,0.9319781840542328,0.0140377982659117,0.4221603780598177,0.0015979657259932,-0.1124255920975161,0.0021953904810829,0.8413781561250084,1.8574577594716195,18.20903027099731,0.020063901878703,2.0
1,3Item19,Difficult,1.0886530498329894,0.0399666720603838,0.7383272782802425,0.008179187148457,0.8607316654610524,0.0097250671857936,0.4576460852322608,0.0034247584901374,-0.0484957611454636,0.0056056836010232,0.8577893089310799,1.61331144042037,19.166797738554337,0.363972417924073,2.0
1,3Item11,Medium,1.1054504426481706,0.0199745372596086,0.5969882844690807,0.0142434170241174,0.8346514975408982,0.0073818414200869,0.387095164876137,0.0025835648456228,-0.0818366972022225,0.0023232664550101,0.7152536968714074,1.542222162444066,19.590297060193432,0.0372412673743081,1.0
1,3Item4,Easy,0.7059365383336027,0.0222154530667722,0.6067610519326893,0.0123821160989954,0.8246871841618693,0.0109885881835672,0.3815613295541963,0.0067378652273019,-0.0941720568345302,0.0112315422969816,0.7357460232673766,1.5902016654568785,18.92399556555556,0.0259462855069863,0.0
1,3Item13,Difficult,0.9286657244577332,0.0554121567973212,0.6562180607273306,0.0365925682646331,0.7282566139867584,0.0272352319680141,0.3886947635353814,0.0040365989516024,-0.0210029433370762,0.0055288983036181,0.9010795742113068,1.6882562721000631,18.75776045010035,0.0218564646411352,2.0
1,3Item10,,1.099889666910828,7.739252680315686e-05,0.7737622814092356,0.0001354628456077,0.9344783565764332,0.0002964156948276,0.4246414797014331,7.370592724310501e-05,0.0335656740334395,0.0003752438550465,0.8280143118880635,1.8221499694360992,18.62596358865015,0.0008773469984472,
