UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Participant
1680003234.792287,10775,BlankScreen1,2023-03-28 17:03:54.792287,1031.0,333.0,1048.0,340.0,-1.0,-1.0,89800.63500000001,583.0816650390625,581.301025390625,0.5806552767753601,0.4885658323764801,0.4212088286876678,0.4894485771656036,0.0,0.0,1
1680003234.8004708,10776,BlankScreen1,2023-03-28 17:03:54.800471,1029.0,336.0,1064.0,340.0,-1.0,-1.0,89808.82099999998,583.0852661132812,581.331298828125,0.5808020830154418,0.488608181476593,0.421326071023941,0.489421933889389,0.0,0.0,1
1680003234.808859,10777,BlankScreen1,2023-03-28 17:03:54.808859,1025.0,336.0,1056.0,341.0,2.9541473388671875,2.9221343994140625,89817.20900000003,583.1624755859375,581.369384765625,0.5807277560234069,0.4885953068733215,0.4212072491645813,0.4894146621227264,0.0,0.0,1
1680003234.8172376,10778,BlankScreen1,2023-03-28 17:03:54.817238,1040.0,355.0,1061.0,364.0,-1.0,-1.0,89825.58600000001,583.1350708007812,581.3037109375,0.580637216567993,0.4885433316230773,0.4212024211883544,0.4893297851085662,0.0,0.0,1
1680003234.8258562,10779,BlankScreen1,2023-03-28 17:03:54.825856,1043.0,364.0,1053.0,365.0,-1.0,-1.0,89834.206,583.1740112304688,581.3305053710938,0.580678880214691,0.4884659051895141,0.4212814569473266,0.4893668591976165,0.0,0.0,1
1680003234.8338723,10780,BlankScreen1,2023-03-28 17:03:54.833872,1041.0,373.0,1053.0,365.0,3.002471923828125,2.826171875,89842.22000000003,583.245849609375,581.36572265625,0.580678105354309,0.4885395467281341,0.4211571812629699,0.4893823862075805,0.0,0.0,1
1680003234.8421955,10781,BlankScreen1,2023-03-28 17:03:54.842196,1046.0,381.0,1056.0,337.0,-1.0,-1.0,89850.54600000003,583.2155151367188,581.2954711914064,0.5805756449699401,0.4885018169879913,0.4211028218269348,0.4893928468227386,0.0,0.0,1
1680003234.850567,10782,BlankScreen1,2023-03-28 17:03:54.850567,1058.0,335.0,1050.0,338.0,-1.0,-1.0,89858.91499999998,583.27978515625,581.3257446289064,0.5807471275329589,0.4885990023612976,0.4212196469306945,0.4893870949745178,0.0,0.0,1
1680003234.8589363,10783,BlankScreen1,2023-03-28 17:03:54.858936,1058.0,335.0,1049.0,353.0,2.8664703369140625,2.9255523681640625,89867.28600000002,583.400390625,581.3630981445312,0.5806326270103453,0.4885365068912506,0.4211037456989288,0.4893721044063568,0.0,0.0,1
1680003234.8672085,10784,BlankScreen1,2023-03-28 17:03:54.867208,1051.0,335.0,1040.0,362.0,-1.0,-1.0,89875.559,583.4296875,581.2818603515625,0.5805166959762573,0.4885347783565521,0.421011596918106,0.4893680214881897,0.0,0.0,1
1680003234.875532,10785,BlankScreen1,2023-03-28 17:03:54.875532,1050.0,333.0,1050.0,357.0,-1.0,-1.0,89883.88,583.5418701171875,581.290771484375,0.5806614756584167,0.4885756969451904,0.4211589395999908,0.4893921911716461,0.0,0.0,1
1680003234.8838866,10786,BlankScreen1,2023-03-28 17:03:54.883887,1058.0,350.0,1052.0,328.0,3.0482177734375,2.8460693359375,89892.23700000002,583.6925048828125,581.2969970703125,0.5805674195289611,0.4885707199573516,0.4211051166057586,0.4893762171268463,0.0,0.0,1
1680003234.892996,10787,BlankScreen1,2023-03-28 17:03:54.892996,1055.0,350.0,1056.0,339.0,-1.0,-1.0,89901.34299999998,583.7186279296875,581.1895141601562,0.580436885356903,0.4885437786579132,0.4209783673286438,0.4893923699855804,0.0,0.0,1
1680003234.9006343,10788,BlankScreen1,2023-03-28 17:03:54.900635,1044.0,367.0,1062.0,330.0,-1.0,-1.0,89908.983,583.7591552734375,581.1788940429688,0.5806064009666442,0.4885742962360382,0.4211019575595855,0.4894192814826965,0.0,0.0,1
1680003234.9088297,10789,BlankScreen1,2023-03-28 17:03:54.908830,1027.0,339.0,1049.0,336.0,2.6875,2.902694702148437,89917.17999999998,583.7944946289064,581.16162109375,0.5804581642150878,0.4885140359401702,0.4210212528705596,0.4894346296787262,0.0,0.0,1
1680003234.9171548,10790,BlankScreen1,2023-03-28 17:03:54.917155,1021.0,328.0,1042.0,329.0,-1.0,-1.0,89925.50300000001,583.679443359375,581.0186767578125,0.5804392099380493,0.4885696470737457,0.4209619760513305,0.4893732666969299,0.0,0.0,1
1680003234.9254668,10791,BlankScreen1,2023-03-28 17:03:54.925467,1035.0,321.0,1033.0,345.0,-1.0,-1.0,89933.81599999998,583.5997924804688,580.9583129882812,0.580591082572937,0.4885577857494354,0.421084314584732,0.4893761575222015,0.0,0.0,1
