TimeStamp,UnixTime,QuestionKey,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant
2023-03-28 17:03:21.185,1680003201.185,,0.96662104,0.78553253,1.1556218,1.8552603,0.4614748,0.1363607,0.55295235,0.37628347,0.8914128,0.38897818,0.5108213,1.2178344,0.4297647,-0.346925,-0.21221203,1.2943034,-0.24333054,-1.0172762,-0.85451084,1.2915044,857.8388,855.42126,852.6007,637.8388,819.5604,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,4.0,92.98,,1
2023-03-28 17:03:20.800,1680003200.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,1
2023-03-28 17:03:21.195,1680003201.195,,0.96662104,0.78553253,1.1556218,1.8552603,0.4614748,0.1363607,0.55295235,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.4297647,-0.346925,-0.21221203,1.2943034,-0.24333054,-1.0172762,-0.85451084,1.2915044,857.8388,855.42126,852.6007,637.8388,819.5604,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,4.0,92.98,,1
2023-03-28 17:03:21.196,1680003201.196,,0.96662104,0.78553253,1.1556218,1.8552603,0.4614748,0.1363607,0.55295235,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24333054,-1.0172762,-0.85451084,1.2915044,857.8388,855.42126,852.6007,637.8388,819.5604,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,4.0,92.98,,1
2023-03-28 17:03:21.197,1680003201.197,,0.98390365,0.8197672,1.1602862,1.8552603,0.4614748,0.1363607,0.55295235,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24333054,-1.0172762,-0.85451084,1.2915044,857.8388,855.42126,852.6007,637.8388,819.5604,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,4.0,92.98,,1
2023-03-28 17:03:21.198,1680003201.198,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24333054,-1.0172762,-0.85451084,1.2915044,857.8388,855.42126,852.6007,637.8388,819.5604,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,4.0,92.98,,1
2023-03-28 17:03:21.200,1680003201.2,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,857.8388,855.42126,852.6007,637.8388,819.5604,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,4.0,92.98,,1
2023-03-28 17:03:21.187,1680003201.187,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,857.4359,857.8388,851.79486,627.76556,821.1722,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.202,1680003201.202,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,861.8681,859.85345,849.7802,639.45056,838.9011,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.204,1680003201.204,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,867.50916,858.24176,849.7802,641.06226,840.9158,-0.057861328125,0.15673828125,0.9962158203125,-0.740203857421875,2.684173583984375,4.3365478515625,1.0,1.0,1.0,1.0,2.0,92.98,,1
